id,CAP,astroturf,fake follower,financial,other,overall,self-declared,spammer,label
4611389296,0.7384783166429812,0.3,1.1,0.4,2.3,1.2,0.0,0.1,1
2890342662,0.7668769621923945,0.3,1.0,0.6,2.1,1.4,0.2,0.5,1
1063319761,0.8240917140475522,4.1,3.2,0.2,3.6,4.1,0.4,0.2,1
2968800676,0.7892294694438972,0.4,1.8,0.6,2.7,1.8,0.0,0.8,1
2799576867,0.7287106185584935,0.8,0.5,0.1,2.3,1.2,0.0,0.0,1
3122007425,0.22631829961109876,0.2,0.0,0.1,0.3,0.0,0.0,0.0,1
2385911950,0.5778862084370772,0.5,0.2,0.1,2.3,0.7,0.0,0.0,1
1337678305,0.8595061719862279,1.3,2.7,0.8,4.4,4.4,3.0,0.5,0
250624869,0.7053377817049258,0.4,0.2,0.3,1.0,1.0,0.0,0.0,1
2862813495,0.8076035454448582,0.6,2.2,2.4,3.9,3.9,0.3,0.4,1
1924501530,0.796599114745521,3.2,2.2,0.2,2.4,3.2,0.2,0.2,0
1301400318,0.7892294694438972,1.0,0.4,0.2,2.3,1.8,0.0,0.0,1
2780612193,0.5539725719744064,1.1,0.4,0.0,1.1,0.6,0.0,0.0,0
4297819397,0.7384783166429812,0.6,0.8,0.2,1.6,1.2,0.0,0.2,1
32604352,0.8457543526336647,0.1,2.2,0.4,4.4,4.4,3.8,2.9,0
162672772,0.8100783815308749,1.8,1.8,1.9,4.0,4.0,0.2,0.2,0
2853761597,0.796599114745521,1.4,2.6,2.8,3.2,3.2,2.1,1.2,0
4030954341,0.8670116134145492,0.0,3.0,2.6,4.5,4.5,1.4,1.3,1
3228649563,0.7668769621923945,0.0,1.3,1.0,1.9,1.4,0.1,0.5,1
861691058,0.812935016236137,1.4,3.2,2.2,4.0,4.0,0.4,2.6,0
1865011970,0.8021481695167405,1.1,3.8,0.8,3.4,3.8,2.8,3.3,0
1865142108,0.7989890411370751,1.1,3.6,1.3,3.2,3.6,0.8,3.2,0
2163541567,0.8100783815308749,0.7,3.9,2.8,4.0,4.0,0.8,3.4,0
2166582637,0.796599114745521,1.5,3.2,0.7,3.1,3.2,1.2,2.8,0
2191191350,0.8457543526336647,1.4,3.4,1.9,4.4,4.4,1.4,3.3,0
2207395363,0.797075908158591,1.4,3.4,1.0,2.9,3.4,0.4,2.7,0
2214071510,0.7973765977480777,1.4,3.1,1.6,3.4,3.4,0.6,1.2,0
2244325512,0.7967206940193189,2.0,3.0,0.5,3.3,3.3,0.9,2.5,0
2267900545,0.8524047631581662,1.4,3.9,2.0,4.4,4.4,1.4,3.2,0
2320872192,0.8339181685112829,1.2,3.5,2.2,4.2,4.2,0.7,1.7,0
2335569980,0.7989890411370751,1.4,3.6,1.2,3.4,3.6,1.0,2.8,0
2364674083,0.7998362042473794,2.0,3.6,1.6,3.2,3.6,0.4,2.9,0
2402022649,0.923535423667034,0.4,2.7,0.9,4.8,4.8,4.8,3.5,0
2976541239,0.8912318555080615,0.2,2.0,0.2,3.4,4.6,4.6,0.6,0
3304794002,0.8995513244218455,0.0,2.6,0.3,4.7,4.7,4.6,2.6,0
3748550069,0.9307543294922915,0.2,3.3,0.2,4.4,4.9,4.9,3.3,0
4886794823,1.0,0.1,4.0,0.6,4.8,5.0,5.0,3.0,0
3187370910,0.8912318555080615,0.4,2.8,0.6,4.6,4.6,4.6,1.9,0
4825633672,1.0,0.1,3.2,1.2,5.0,5.0,5.0,2.9,0
3103172267,0.8829632678129363,0.2,2.3,1.0,4.4,4.6,4.6,2.2,0
4350824652,0.8748575042966269,0.1,3.6,0.6,4.4,4.6,4.6,3.2,0
3327104705,0.8912318555080615,0.8,1.3,1.0,4.0,4.6,4.6,0.8,0
2339779142,0.8995513244218455,0.2,2.8,1.0,4.6,4.7,4.7,2.8,0
1965044298,0.8054784364249085,0.2,2.4,0.6,3.6,3.8,3.6,3.8,0
3747663856,1.0,0.0,3.6,0.6,5.0,5.0,5.0,2.9,0
2536621626,0.9373635156266058,0.5,3.9,0.7,5.0,5.0,4.2,2.2,0
3041192247,0.8670116134145492,0.6,1.2,0.0,4.0,4.5,4.5,1.7,0
4040207472,0.8912318555080615,0.4,3.0,1.1,4.6,4.6,4.5,1.4,0
3020652335,1.0,0.1,3.9,1.6,4.9,5.0,5.0,2.9,0
4891902315,0.9158377984126878,0.2,2.5,0.2,4.4,4.8,4.8,3.0,0
3302891944,0.812935016236137,0.4,1.6,1.4,2.8,4.0,4.0,2.6,0
4733801655,0.923535423667034,0.7,1.2,0.4,4.4,4.8,4.8,1.7,0
4190852728,0.8995513244218455,0.8,2.0,0.6,4.7,4.7,4.4,2.0,0
4371859758,1.0,0.1,2.9,0.2,4.4,5.0,5.0,2.3,0
4208245037,1.0,0.2,3.2,0.8,4.2,5.0,5.0,1.9,0
2590168531,0.9158377984126878,0.2,3.6,0.8,4.8,4.8,4.6,3.0,0
3299372399,0.8995513244218455,0.8,3.6,0.6,4.7,4.7,4.6,1.5,0
3922351113,0.9158377984126878,0.6,1.4,0.4,3.9,4.8,4.8,2.1,0
3229361280,0.9373635156266058,0.2,2.3,0.9,5.0,5.0,4.7,1.5,0
3818713218,0.8829632678129363,0.2,2.6,0.3,4.6,4.6,4.6,1.6,0
2431021303,0.8670116134145492,0.6,2.3,0.2,3.4,4.5,4.5,3.2,0
3983629163,0.9077975241648624,0.9,1.7,0.8,4.4,4.8,4.8,1.2,0
3091735275,0.9158377984126878,0.6,1.4,0.4,4.7,4.8,4.8,1.4,0
989135184,0.9158377984126878,0.4,1.5,0.4,4.8,4.8,4.4,0.9,0
3765991992,0.8457543526336647,0.7,1.6,0.4,3.6,4.4,4.4,0.8,0
2579497028,0.8339181685112829,0.4,1.6,0.2,4.0,4.2,4.2,0.4,0
